id;start_date;end_date;language
1;2020-05-03T07:15:00;2020-05-03T05:05:15;SPANISH
2;2020-05-02T12:05:11;2020-05-03T07:09:36;SPANISH
3;2020-05-03T03:00:30;2020-05-02T13:34:39;FRENCH
4;2020-05-02T18:18:01;2020-05-03T05:49:27;FRENCH
5;2020-05-03T03:48:19;2020-05-03T08:35:18;FRENCH
6;2020-05-02T21:40:40;2020-05-03T09:48:54;FRENCH
7;2020-05-02T23:26:00;2020-05-02T17:16:51;FRENCH
8;2020-05-02T22:22:13;2020-05-03T08:38:21;SPANISH
9;2020-05-02T21:03:22;2020-05-02T17:44:45;SPANISH
10;2020-05-03T05:15:26;2020-05-02T15:49:56;SPANISH
